date,year,month,quarter,season,weekday,consumption_mwh,solar_mwh,wind_onshore_mwh,wind_offshore_mwh,renewable_total_mwh,renewable_share_pct
2018-01-01,2018,1,1,Winter,Monday,1063368.0,29486.0,605427.0,74669.0,709582.0,66.73
2018-01-02,2018,1,1,Winter,Tuesday,1362988.0,16327.0,406403.0,66396.0,489126.0,35.89
2018-01-03,2018,1,1,Winter,Wednesday,1477401.0,13103.0,846625.0,91260.0,950988.0,64.37
2018-01-04,2018,1,1,Winter,Thursday,1467407.0,9263.0,554070.0,37245.0,600578.0,40.93
2018-01-05,2018,1,1,Winter,Friday,1436054.0,18381.0,501845.0,24748.0,544974.0,37.95
2018-01-06,2018,1,1,Winter,Saturday,1225864.0,29155.0,172056.0,31838.0,233049.0,19.01
2018-01-07,2018,1,1,Winter,Sunday,1183135.0,17000.0,357188.0,32297.0,406485.0,34.36
2018-01-08,2018,1,1,Winter,Monday,1523648.0,30372.0,492071.0,65002.0,587445.0,38.56
2018-01-09,2018,1,1,Winter,Tuesday,1550380.0,29453.0,441293.0,77793.0,548539.0,35.38
2018-01-10,2018,1,1,Winter,Wednesday,1498537.0,37828.0,123179.0,24945.0,185952.0,12.41
2018-01-11,2018,1,1,Winter,Thursday,1506485.0,21017.0,24631.0,11151.0,56799.0,3.77
2018-01-12,2018,1,1,Winter,Friday,1490555.0,11011.0,81146.0,51480.0,143637.0,9.64
2018-01-13,2018,1,1,Winter,Saturday,1303094.0,11431.0,262339.0,73957.0,347727.0,26.68
2018-01-14,2018,1,1,Winter,Sunday,1216045.0,33246.0,318898.0,77964.0,430108.0,35.37
2018-01-15,2018,1,1,Winter,Monday,1565053.0,30279.0,657114.0,85714.0,773107.0,49.4
2018-01-16,2018,1,1,Winter,Tuesday,1592054.0,18545.0,583505.0,89758.0,691808.0,43.45
2018-01-17,2018,1,1,Winter,Wednesday,1603534.0,18862.0,577683.0,83471.0,680016.0,42.41
2018-01-18,2018,1,1,Winter,Thursday,1596151.0,15811.0,621859.0,62375.0,700045.0,43.86
2018-01-19,2018,1,1,Winter,Friday,1517831.0,26536.0,261422.0,36234.0,324192.0,21.36
2018-01-20,2018,1,1,Winter,Saturday,1311323.0,15013.0,169757.0,35562.0,220332.0,16.8
2018-01-21,2018,1,1,Winter,Sunday,1207923.0,18297.0,88730.0,20357.0,127384.0,10.55
2018-01-22,2018,1,1,Winter,Monday,1513782.0,9659.0,256135.0,57808.0,323602.0,21.38
2018-01-23,2018,1,1,Winter,Tuesday,1542970.0,18980.0,333148.0,61370.0,413498.0,26.8
2018-01-24,2018,1,1,Winter,Wednesday,1557519.0,41024.0,662581.0,99392.0,802997.0,51.56
2018-01-25,2018,1,1,Winter,Thursday,1524241.0,30156.0,308257.0,86038.0,424451.0,27.85
2018-01-26,2018,1,1,Winter,Friday,1477983.0,27650.0,43436.0,7257.0,78343.0,5.3
2018-01-27,2018,1,1,Winter,Saturday,1281149.0,25558.0,253285.0,61142.0,339985.0,26.54
2018-01-28,2018,1,1,Winter,Sunday,1203899.0,22197.0,751723.0,89280.0,863200.0,71.7
2018-01-29,2018,1,1,Winter,Monday,1525812.0,23739.0,809364.0,90266.0,923369.0,60.52
2018-01-30,2018,1,1,Winter,Tuesday,1536004.0,49856.0,384345.0,83372.0,517573.0,33.7
2018-01-31,2018,1,1,Winter,Wednesday,1572225.0,30908.0,612455.0,93122.0,736485.0,46.84
2018-02-01,2018,2,1,Winter,Thursday,1561947.0,32595.0,432700.0,89446.0,554741.0,35.52
2018-02-02,2018,2,1,Winter,Friday,1521025.0,38070.0,297191.0,53874.0,389135.0,25.58
2018-02-03,2018,2,1,Winter,Saturday,1288114.0,25098.0,83221.0,29003.0,137322.0,10.66
2018-02-04,2018,2,1,Winter,Sunday,1211977.0,26189.0,158769.0,93651.0,278609.0,22.99
2018-02-05,2018,2,1,Winter,Monday,1514445.0,53302.0,170923.0,31897.0,256122.0,16.91
2018-02-06,2018,2,1,Winter,Tuesday,1539424.0,66492.0,89024.0,4355.0,159871.0,10.39
2018-02-07,2018,2,1,Winter,Wednesday,1560716.0,55937.0,48488.0,7965.0,112390.0,7.2
2018-02-08,2018,2,1,Winter,Thursday,1556303.0,51721.0,37256.0,54604.0,143581.0,9.23
2018-02-09,2018,2,1,Winter,Friday,1551989.0,42355.0,128778.0,80265.0,251398.0,16.2
2018-02-10,2018,2,1,Winter,Saturday,1326277.0,24427.0,117925.0,53182.0,195534.0,14.74
2018-02-11,2018,2,1,Winter,Sunday,1239864.0,28516.0,526986.0,98429.0,653931.0,52.74
2018-02-12,2018,2,1,Winter,Monday,1502628.0,47380.0,371024.0,92889.0,511293.0,34.03
2018-02-13,2018,2,1,Winter,Tuesday,1516714.0,97675.0,191179.0,67877.0,356731.0,23.52
2018-02-14,2018,2,1,Winter,Wednesday,1546898.0,113511.0,249179.0,76417.0,439107.0,28.39
2018-02-15,2018,2,1,Winter,Thursday,1590692.0,30743.0,415833.0,90488.0,537064.0,33.76
2018-02-16,2018,2,1,Winter,Friday,1517847.0,71702.0,267621.0,60581.0,399904.0,26.35
2018-02-17,2018,2,1,Winter,Saturday,1316896.0,34463.0,65659.0,6785.0,106907.0,8.12
2018-02-18,2018,2,1,Winter,Sunday,1212271.0,59636.0,97188.0,28607.0,185431.0,15.3
2018-02-19,2018,2,1,Winter,Monday,1501918.0,58919.0,53181.0,6556.0,118656.0,7.9
2018-02-20,2018,2,1,Winter,Tuesday,1528702.0,65835.0,99855.0,9547.0,175237.0,11.46
2018-02-21,2018,2,1,Winter,Wednesday,1523119.0,91725.0,150009.0,3059.0,244793.0,16.07
2018-02-22,2018,2,1,Winter,Thursday,1533351.0,88681.0,252637.0,8558.0,349876.0,22.82
2018-02-23,2018,2,1,Winter,Friday,1527690.0,105663.0,314468.0,45859.0,465990.0,30.5
2018-02-24,2018,2,1,Winter,Saturday,1334270.0,109933.0,486704.0,98518.0,695155.0,52.1
2018-02-25,2018,2,1,Winter,Sunday,1247368.0,122087.0,282373.0,68412.0,472872.0,37.91
2018-02-26,2018,2,1,Winter,Monday,1580262.0,81635.0,311091.0,87163.0,479889.0,30.37
2018-02-27,2018,2,1,Winter,Tuesday,1619598.0,97963.0,247770.0,89843.0,435576.0,26.89
2018-02-28,2018,2,1,Winter,Wednesday,1634027.0,108252.0,469568.0,102042.0,679862.0,41.61
2018-03-01,2018,3,1,Spring,Thursday,1618882.0,110481.0,628786.0,99193.0,838460.0,51.79
2018-03-02,2018,3,1,Spring,Friday,1604981.0,102090.0,430424.0,98197.0,630711.0,39.3
2018-03-03,2018,3,1,Spring,Saturday,1368154.0,77042.0,326591.0,99673.0,503306.0,36.79
2018-03-04,2018,3,1,Spring,Sunday,1232353.0,100457.0,313601.0,93807.0,507865.0,41.21
2018-03-05,2018,3,1,Spring,Monday,1474615.0,104489.0,220516.0,73289.0,398294.0,27.01
2018-03-06,2018,3,1,Spring,Tuesday,1492512.0,76481.0,105762.0,32128.0,214371.0,14.36
2018-03-07,2018,3,1,Spring,Wednesday,1515911.0,56921.0,149179.0,11693.0,217793.0,14.37
2018-03-08,2018,3,1,Spring,Thursday,1531148.0,93282.0,445313.0,37643.0,576238.0,37.63
2018-03-09,2018,3,1,Spring,Friday,1512961.0,71752.0,321460.0,35955.0,429167.0,28.37
2018-03-10,2018,3,1,Spring,Saturday,1266883.0,56038.0,227932.0,67687.0,351657.0,27.76
2018-03-11,2018,3,1,Spring,Sunday,1147970.0,84287.0,186005.0,57884.0,328176.0,28.59
2018-03-12,2018,3,1,Spring,Monday,1460167.0,49399.0,201145.0,4526.0,255070.0,17.47
2018-03-13,2018,3,1,Spring,Tuesday,1518795.0,52337.0,392204.0,34451.0,478992.0,31.54
2018-03-14,2018,3,1,Spring,Wednesday,1493399.0,71454.0,126410.0,28884.0,226748.0,15.18
2018-03-15,2018,3,1,Spring,Thursday,1534676.0,108585.0,561939.0,84756.0,755280.0,49.21
2018-03-16,2018,3,1,Spring,Friday,1528868.0,48725.0,537778.0,51303.0,637806.0,41.72
2018-03-17,2018,3,1,Spring,Saturday,1387156.0,52766.0,743391.0,55489.0,851646.0,61.4
2018-03-18,2018,3,1,Spring,Sunday,1305785.0,82333.0,681860.0,63788.0,827981.0,63.41
2018-03-19,2018,3,1,Spring,Monday,1545366.0,119135.0,199011.0,43747.0,361893.0,23.42
2018-03-20,2018,3,1,Spring,Tuesday,1584812.0,99835.0,282485.0,56139.0,438459.0,27.67
2018-03-21,2018,3,1,Spring,Wednesday,1565123.0,135522.0,156636.0,50679.0,342837.0,21.9
2018-03-22,2018,3,1,Spring,Thursday,1572047.0,56308.0,346682.0,51975.0,454965.0,28.94
2018-03-23,2018,3,1,Spring,Friday,1517870.0,44666.0,55631.0,43663.0,143960.0,9.48
2018-03-24,2018,3,1,Spring,Saturday,1267769.0,144550.0,60912.0,9711.0,215173.0,16.97
2018-03-25,2018,3,1,Spring,Sunday,1153619.0,158681.0,35421.0,3878.0,197980.0,17.16
2018-03-26,2018,3,1,Spring,Monday,1467624.0,72807.0,56764.0,6087.0,135658.0,9.24
2018-03-27,2018,3,1,Spring,Tuesday,1468363.0,112027.0,107061.0,27020.0,246108.0,16.76
2018-03-28,2018,3,1,Spring,Wednesday,1511233.0,46278.0,358609.0,89399.0,494286.0,32.71
2018-03-29,2018,3,1,Spring,Thursday,1464366.0,95124.0,314336.0,29907.0,439367.0,30.0
2018-03-30,2018,3,1,Spring,Friday,1159549.0,145949.0,262041.0,87906.0,495896.0,42.77
2018-03-31,2018,3,1,Spring,Saturday,1161034.0,74111.0,205686.0,85745.0,365542.0,31.48
2018-04-01,2018,4,2,Spring,Sunday,1075303.0,71797.0,342903.0,28031.0,442731.0,41.17
2018-04-02,2018,4,2,Spring,Monday,1079921.0,151580.0,200105.0,43697.0,395382.0,36.61
2018-04-03,2018,4,2,Spring,Tuesday,1413120.0,142943.0,341266.0,72775.0,556984.0,39.42
2018-04-04,2018,4,2,Spring,Wednesday,1443555.0,138516.0,303583.0,52000.0,494099.0,34.23
2018-04-05,2018,4,2,Spring,Thursday,1490895.0,98876.0,553715.0,84921.0,737512.0,49.47
2018-04-06,2018,4,2,Spring,Friday,1429838.0,216112.0,277785.0,59030.0,552927.0,38.67
2018-04-07,2018,4,2,Spring,Saturday,1212683.0,212637.0,363889.0,67328.0,643854.0,53.09
2018-04-08,2018,4,2,Spring,Sunday,1091725.0,197089.0,148714.0,11680.0,357483.0,32.74
2018-04-09,2018,4,2,Spring,Monday,1381746.0,145760.0,118872.0,48283.0,312915.0,22.65
2018-04-10,2018,4,2,Spring,Tuesday,1440243.0,155791.0,324604.0,98638.0,579033.0,40.2
2018-04-11,2018,4,2,Spring,Wednesday,1462421.0,150466.0,310177.0,102888.0,563531.0,38.53
2018-04-12,2018,4,2,Spring,Thursday,1450052.0,142466.0,370508.0,107023.0,619997.0,42.76
2018-04-13,2018,4,2,Spring,Friday,1434598.0,85508.0,269406.0,43334.0,398248.0,27.76
