date,year,month,quarter,season,weekday,consumption_mwh,solar_mwh,wind_onshore_mwh,wind_offshore_mwh,renewable_total_mwh,renewable_share_pct,z_score,anomaly
2018-01-01,2018,1,1,Winter,Monday,1063368.0,40613.0,40613.0,40613.0,121839.0,11.46,-1.668781811572296,0
2018-01-02,2018,1,1,Winter,Tuesday,1362988.0,39033.0,39033.0,39033.0,117099.0,8.59,0.1864175220939528,0
2018-01-03,2018,1,1,Winter,Wednesday,1477401.0,46879.0,46879.0,46879.0,140637.0,9.52,0.8948446009363417,0
2018-01-04,2018,1,1,Winter,Thursday,1467407.0,48821.0,48821.0,48821.0,146463.0,9.98,0.8329633442089519,0
2018-01-05,2018,1,1,Winter,Friday,1436054.0,48317.0,48317.0,48317.0,144951.0,10.09,0.6388305603212345,0
2018-01-06,2018,1,1,Winter,Saturday,1225864.0,45520.0,45520.0,45520.0,136560.0,11.14,-0.6626324526395454,0
2018-01-07,2018,1,1,Winter,Sunday,1183135.0,41666.0,41666.0,41666.0,124998.0,10.56,-0.9272036172087502,0
2018-01-08,2018,1,1,Winter,Monday,1523648.0,45221.0,45221.0,45221.0,135663.0,8.9,1.1811986613597547,0
2018-01-09,2018,1,1,Winter,Tuesday,1550380.0,50807.0,50807.0,50807.0,152421.0,9.83,1.3467189490160065,0
2018-01-10,2018,1,1,Winter,Wednesday,1498537.0,49822.0,49822.0,49822.0,149466.0,9.97,1.0257153476033527,0
2018-01-11,2018,1,1,Winter,Thursday,1506485.0,49423.0,49423.0,49423.0,148269.0,9.84,1.0749280981005802,0
2018-01-12,2018,1,1,Winter,Friday,1490555.0,49429.0,49429.0,49429.0,148287.0,9.95,0.9762920745197,0
2018-01-13,2018,1,1,Winter,Saturday,1303094.0,48467.0,48467.0,48467.0,145401.0,11.16,-0.18443658941598084,0
2018-01-14,2018,1,1,Winter,Sunday,1216045.0,44318.0,44318.0,44318.0,132954.0,10.93,-0.7234301372309241,0
2018-01-15,2018,1,1,Winter,Monday,1565053.0,47067.0,47067.0,47067.0,141201.0,9.02,1.4375718287399397,0
2018-01-16,2018,1,1,Winter,Tuesday,1592054.0,52191.0,52191.0,52191.0,156573.0,9.83,1.6047577215652598,0
2018-01-17,2018,1,1,Winter,Wednesday,1603534.0,51758.0,51758.0,51758.0,155274.0,9.68,1.6758400536875764,0
