ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2018-01-01,1348177.3346369201,1248478.769256093,1412133.8688638867,1348177.3346369201,1348177.3346369201,-17711.949764678757,-17711.949764678757,-17711.949764678757,49070.59991657463,49070.59991657463,49070.59991657463,-66782.5496812534,-66782.5496812534,-66782.5496812534,0.0,0.0,0.0,1330465.3848722414,
2018-01-02,1348425.9565740696,1298829.4580031384,1462717.055643701,1348425.9565740696,1348425.9565740696,32668.179433908663,32668.179433908663,32668.179433908663,88702.12415663277,88702.12415663277,88702.12415663277,-56033.94472272413,-56033.94472272413,-56033.94472272413,0.0,0.0,0.0,1381094.136007978,
2018-01-03,1348674.578511219,1311078.0227017393,1478172.365410128,1348674.578511219,1348674.578511219,47087.48470582557,47087.48470582557,47087.48470582557,90823.28849101778,90823.28849101778,90823.28849101778,-43735.8037851922,-43735.8037851922,-43735.8037851922,0.0,0.0,0.0,1395762.0632170446,
2018-01-04,1348923.2004483687,1319962.536950752,1481892.165249969,1348923.2004483687,1348923.2004483687,51957.236205555935,51957.236205555935,51957.236205555935,82070.98430797423,82070.98430797423,82070.98430797423,-30113.748102418303,-30113.748102418303,-30113.748102418303,0.0,0.0,0.0,1400880.4366539246,
2018-01-05,1349171.822385518,1307024.3479578525,1462549.988320493,1349171.822385518,1349171.822385518,37707.76308933642,37707.76308933642,37707.76308933642,53121.08757272157,53121.08757272157,53121.08757272157,-15413.324483385162,-15413.324483385162,-15413.324483385162,0.0,0.0,0.0,1386879.5854748546,
2018-01-06,1349420.4443226676,1132668.675729642,1287774.2112852205,1349420.4443226676,1349420.4443226676,-138720.4543213544,-138720.4543213544,-138720.4543213544,-138825.78190634525,-138825.78190634525,-138825.78190634525,105.32758499086637,105.32758499086637,105.32758499086637,0.0,0.0,0.0,1210699.9900013132,
2018-01-07,1349669.066259817,1063651.5457739863,1214164.7947900174,1349669.066259817,1349669.066259817,-208789.25017215128,-208789.25017215128,-208789.25017215128,-224962.30253845156,-224962.30253845156,-224962.30253845156,16173.052366300282,16173.052366300282,16173.052366300282,0.0,0.0,0.0,1140879.8160876657,1320951.6303307174
2018-01-08,1349917.6881969664,1348761.2751926822,1510280.2516990872,1349917.6881969664,1349917.6881969664,81587.96592167763,81587.96592167763,81587.96592167763,49070.59991633258,49070.59991633258,49070.59991633258,32517.366005345044,32517.366005345044,32517.366005345044,0.0,0.0,0.0,1431505.654118644,1335385.9545087751
2018-01-09,1350166.310134116,1407267.4920998942,1567151.5655651938,1350166.310134116,1350166.310134116,137570.24734251163,137570.24734251163,137570.24734251163,88702.12415663605,88702.12415663605,88702.12415663605,48868.123185875585,48868.123185875585,48868.123185875585,0.0,0.0,0.0,1487736.5574766276,1350620.5861471535
2018-01-10,1350414.9320712655,1428300.0960201842,1582180.1079071884,1350414.9320712655,1350414.9320712655,155786.31961163468,155786.31961163468,155786.31961163468,90823.28849095917,90823.28849095917,90823.28849095917,64963.03112067549,64963.03112067549,64963.03112067549,0.0,0.0,0.0,1506201.2516829001,1366397.6130708472
2018-01-11,1350663.554008415,1437251.3046647331,1591172.065412278,1350663.554008415,1350663.554008415,162623.8692223681,162623.8692223681,162623.8692223681,82070.98430805861,82070.98430805861,82070.98430805861,80552.88491430946,80552.88491430946,80552.88491430946,0.0,0.0,0.0,1513287.423230783,1382455.7540103984
2018-01-12,1350912.1759455644,1420693.685584558,1579435.188853221,1350912.1759455644,1350912.1759455644,148527.4942386193,148527.4942386193,148527.4942386193,53121.08757279025,53121.08757279025,53121.08757279025,95406.40666582908,95406.40666582908,95406.40666582908,0.0,0.0,0.0,1499439.6701841836,1398535.766111731
2018-01-13,1351160.797882714,1244265.758091683,1397997.3166017507,1351160.797882714,1351160.797882714,-29511.200047430655,-29511.200047430655,-29511.200047430655,-138825.78190624906,-138825.78190624906,-138825.78190624906,109314.58185881843,109314.58185881843,109314.58185881843,0.0,0.0,0.0,1321649.5978352835,1414385.7100880125
2018-01-14,1351409.4198198635,1170197.2221770224,1329009.5047158578,1351409.4198198635,1351409.4198198635,-102867.9022331292,-102867.9022331292,-102867.9022331292,-224962.30253838527,-224962.30253838527,-224962.30253838527,122094.4003052561,122094.4003052561,122094.4003052561,0.0,0.0,0.0,1248541.5175867344,1429765.9531593078
2018-01-15,1351658.041757013,1454998.5812919168,1616507.6791936827,1351658.041757013,1351658.041757013,182662.52470867164,182662.52470867164,182662.52470867164,49070.599916468316,49070.599916468316,49070.599916468316,133591.92479220332,133591.92479220332,133591.92479220332,0.0,0.0,0.0,1534320.5664656847,1444453.797780314
2018-01-16,1351906.6636941624,1509278.441226146,1666744.0857231538,1351906.6636941624,1351906.6636941624,232386.7523530503,232386.7523530503,232386.7523530503,88702.124156748,88702.124156748,88702.124156748,143684.6281963023,143684.6281963023,143684.6281963023,0.0,0.0,0.0,1584293.4160472127,1458247.634718969
2018-01-17,1352155.2856313118,1515746.048315693,1670519.7030442688,1352155.2856313118,1352155.2856313118,243106.2471958595,243106.2471958595,243106.2471958595,90823.28849090062,90823.28849090062,90823.28849090062,152282.9587049589,152282.9587049589,152282.9587049589,0.0,0.0,0.0,1595261.5328271713,1470970.5320252932
2018-01-18,1352403.9075684615,1514135.6104268467,1678565.3561351707,1352403.9075684615,1352403.9075684615,241402.09672659216,241402.09672659216,241402.09672659216,82070.98430782871,82070.98430782871,82070.98430782871,159331.11241876346,159331.11241876346,159331.11241876346,0.0,0.0,0.0,1593806.0042950537,1482473.1864630464
2018-01-19,1352652.529505611,1494804.5305725331,1653536.0295034228,1352652.529505611,1352652.529505611,217928.1000591555,217928.1000591555,217928.1000591555,53121.08757269946,53121.08757269946,53121.08757269946,164807.012486456,164807.012486456,164807.012486456,0.0,0.0,0.0,1570580.6295647663,1492636.1806602722
2018-01-20,1352901.1514427604,1304667.6270259419,1452687.8744579677,1352901.1514427604,1352901.1514427604,29895.731621069757,29895.731621069757,29895.731621069757,-138825.7819061453,-138825.7819061453,-138825.7819061453,168721.51352721505,168721.51352721505,168721.51352721505,0.0,0.0,0.0,1382796.8830638302,1501371.5071214936
2018-01-21,1353149.7733799098,1222952.2097927476,1377739.6416478443,1353149.7733799098,1353149.7733799098,-53845.43362083524,-53845.43362083524,-53845.43362083524,-224962.302538319,-224962.302538319,-224962.302538319,171116.86891748378,171116.86891748378,171116.86891748378,0.0,0.0,0.0,1299304.3397590746,1508623.3388603989
2018-01-22,1353398.3953170592,1497049.9594827932,1656432.4021668192,1353398.3953170592,1353398.3953170592,221135.1160013384,221135.1160013384,221135.1160013384,49070.59991663571,49070.59991663571,49070.59991663571,172064.51608470271,172064.51608470271,172064.51608470271,0.0,0.0,0.0,1574533.5113183977,1514368.0452679296
