date,year,month,daily_mwh,rolling_30d_avg_mwh
2018-01-01,2018,1,1063368.0,1063368.0
2018-01-02,2018,1,1362988.0,1213178.0
2018-01-03,2018,1,1477401.0,1301252.0
2018-01-04,2018,1,1467407.0,1342791.0
2018-01-05,2018,1,1436054.0,1361444.0
2018-01-06,2018,1,1225864.0,1338847.0
2018-01-07,2018,1,1183135.0,1316602.0
2018-01-08,2018,1,1523648.0,1342483.0
2018-01-09,2018,1,1550380.0,1365583.0
2018-01-10,2018,1,1498537.0,1378878.0
2018-01-11,2018,1,1506485.0,1390479.0
2018-01-12,2018,1,1490555.0,1398819.0
2018-01-13,2018,1,1303094.0,1391455.0
2018-01-14,2018,1,1216045.0,1378926.0
2018-01-15,2018,1,1565053.0,1391334.0
2018-01-16,2018,1,1592054.0,1403879.0
2018-01-17,2018,1,1603534.0,1415624.0
2018-01-18,2018,1,1596151.0,1425653.0
2018-01-19,2018,1,1517831.0,1430504.0
2018-01-20,2018,1,1311323.0,1424545.0
2018-01-21,2018,1,1207923.0,1414230.0
2018-01-22,2018,1,1513782.0,1418755.0
2018-01-23,2018,1,1542970.0,1424156.0
2018-01-24,2018,1,1557519.0,1429713.0
2018-01-25,2018,1,1524241.0,1433494.0
2018-01-26,2018,1,1477983.0,1435205.0
2018-01-27,2018,1,1281149.0,1429499.0
2018-01-28,2018,1,1203899.0,1421442.0
2018-01-29,2018,1,1525812.0,1425041.0
2018-01-30,2018,1,1536004.0,1428740.0
2018-01-31,2018,1,1572225.0,1445702.0
2018-02-01,2018,2,1561947.0,1452334.0
2018-02-02,2018,2,1521025.0,1453788.0
2018-02-03,2018,2,1288114.0,1447811.0
2018-02-04,2018,2,1211977.0,1440342.0
2018-02-05,2018,2,1514445.0,1449961.0
2018-02-06,2018,2,1539424.0,1461838.0
2018-02-07,2018,2,1560716.0,1463073.0
2018-02-08,2018,2,1556303.0,1463271.0
2018-02-09,2018,2,1551989.0,1465052.0
2018-02-10,2018,2,1326277.0,1459045.0
2018-02-11,2018,2,1239864.0,1450689.0
2018-02-12,2018,2,1502628.0,1457340.0
2018-02-13,2018,2,1516714.0,1467363.0
2018-02-14,2018,2,1546898.0,1466757.0
2018-02-15,2018,2,1590692.0,1466712.0
2018-02-16,2018,2,1517847.0,1463856.0
2018-02-17,2018,2,1316896.0,1454547.0
2018-02-18,2018,2,1212271.0,1444362.0
2018-02-19,2018,2,1501918.0,1450715.0
2018-02-20,2018,2,1528702.0,1461408.0
2018-02-21,2018,2,1523119.0,1461719.0
2018-02-22,2018,2,1533351.0,1461398.0
2018-02-23,2018,2,1527690.0,1460404.0
2018-02-24,2018,2,1334270.0,1454072.0
2018-02-25,2018,2,1247368.0,1446384.0
2018-02-26,2018,2,1580262.0,1456355.0
2018-02-27,2018,2,1619598.0,1470212.0
2018-02-28,2018,2,1634027.0,1473819.0
2018-03-01,2018,3,1618882.0,1476581.0
2018-03-02,2018,3,1604981.0,1477673.0
2018-03-03,2018,3,1368154.0,1471213.0
2018-03-04,2018,3,1232353.0,1461591.0
2018-03-05,2018,3,1474615.0,1467808.0
2018-03-06,2018,3,1492512.0,1477159.0
2018-03-07,2018,3,1515911.0,1477208.0
2018-03-08,2018,3,1531148.0,1476932.0
2018-03-09,2018,3,1512961.0,1475340.0
2018-03-10,2018,3,1266883.0,1465693.0
2018-03-11,2018,3,1147970.0,1452225.0
2018-03-12,2018,3,1460167.0,1456688.0
2018-03-13,2018,3,1518795.0,1465986.0
2018-03-14,2018,3,1493399.0,1465678.0
2018-03-15,2018,3,1534676.0,1466277.0
2018-03-16,2018,3,1528868.0,1465676.0
2018-03-17,2018,3,1387156.0,1458892.0
2018-03-18,2018,3,1305785.0,1451823.0
2018-03-19,2018,3,1545366.0,1459439.0
2018-03-20,2018,3,1584812.0,1471857.0
2018-03-21,2018,3,1565123.0,1473963.0
2018-03-22,2018,3,1572047.0,1475408.0
2018-03-23,2018,3,1517870.0,1475233.0
2018-03-24,2018,3,1267769.0,1466381.0
2018-03-25,2018,3,1153619.0,1453912.0
2018-03-26,2018,3,1467624.0,1458357.0
2018-03-27,2018,3,1468363.0,1465723.0
2018-03-28,2018,3,1511233.0,1463422.0
2018-03-29,2018,3,1464366.0,1458248.0
2018-03-30,2018,3,1159549.0,1442432.0
2018-03-31,2018,3,1161034.0,1427170.0
2018-04-01,2018,4,1075303.0,1409514.0
2018-04-02,2018,4,1079921.0,1399907.0
2018-04-03,2018,4,1413120.0,1405932.0
2018-04-04,2018,4,1443555.0,1404897.0
2018-04-05,2018,4,1490895.0,1404843.0
2018-04-06,2018,4,1429838.0,1401974.0
2018-04-07,2018,4,1212683.0,1391358.0
2018-04-08,2018,4,1091725.0,1377317.0
2018-04-09,2018,4,1381746.0,1381146.0
2018-04-10,2018,4,1440243.0,1390888.0
2018-04-11,2018,4,1462421.0,1390963.0
2018-04-12,2018,4,1450052.0,1388672.0
2018-04-13,2018,4,1434598.0,1386712.0
2018-04-14,2018,4,1189337.0,1375201.0
2018-04-15,2018,4,1066383.0,1359785.0
2018-04-16,2018,4,1371593.0,1359266.0
2018-04-17,2018,4,1385784.0,1361932.0
2018-04-18,2018,4,1385290.0,1356597.0
2018-04-19,2018,4,1393887.0,1350232.0
2018-04-20,2018,4,1379114.0,1344032.0
2018-04-21,2018,4,1164958.0,1330462.0
2018-04-22,2018,4,1064332.0,1315345.0
2018-04-23,2018,4,1384203.0,1319226.0
2018-04-24,2018,4,1409605.0,1327759.0
2018-04-25,2018,4,1437092.0,1326741.0
2018-04-26,2018,4,1436767.0,1325688.0
2018-04-27,2018,4,1385282.0,1321489.0
2018-04-28,2018,4,1177513.0,1311927.0
2018-04-29,2018,4,1067114.0,1308846.0
2018-04-30,2018,4,1281750.0,1312870.0
2018-05-01,2018,5,1110178.0,1314033.0
2018-05-02,2018,5,1396620.0,1324589.0
2018-05-03,2018,5,1422030.0,1324886.0
2018-05-04,2018,5,1399659.0,1323423.0
2018-05-05,2018,5,1178154.0,1312998.0
2018-05-06,2018,5,1084216.0,1301478.0
2018-05-07,2018,5,1401587.0,1307774.0
2018-05-08,2018,5,1430139.0,1319055.0
2018-05-09,2018,5,1413670.0,1320119.0
2018-05-10,2018,5,1134828.0,1309939.0
2018-05-11,2018,5,1260826.0,1303219.0
2018-05-12,2018,5,1154914.0,1293381.0
2018-05-13,2018,5,1083982.0,1281694.0
2018-05-14,2018,5,1412565.0,1289135.0
2018-05-15,2018,5,1425414.0,1301102.0
2018-05-16,2018,5,1431052.0,1303084.0
2018-05-17,2018,5,1441611.0,1304945.0
2018-05-18,2018,5,1404740.0,1305593.0
2018-05-19,2018,5,1164906.0,1297961.0
2018-05-20,2018,5,1021732.0,1286048.0
2018-05-21,2018,5,1063460.0,1282665.0
2018-05-22,2018,5,1390786.0,1293547.0
2018-05-23,2018,5,1433532.0,1295191.0
2018-05-24,2018,5,1437715.0,1296128.0
2018-05-25,2018,5,1403603.0,1295012.0
2018-05-26,2018,5,1190657.0,1286808.0
2018-05-27,2018,5,1091782.0,1277025.0
2018-05-28,2018,5,1421894.0,1285171.0
2018-05-29,2018,5,1454690.0,1298090.0
2018-05-30,2018,5,1419749.0,1302690.0
2018-05-31,2018,5,1227972.0,1306616.0
2018-06-01,2018,6,1313646.0,1303850.0
2018-06-02,2018,6,1158359.0,1295061.0
2018-06-03,2018,6,1072607.0,1284160.0
2018-06-04,2018,6,1396992.0,1291454.0
2018-06-05,2018,6,1436182.0,1303186.0
2018-06-06,2018,6,1446905.0,1304697.0
2018-06-07,2018,6,1453064.0,1305461.0
2018-06-08,2018,6,1426782.0,1305898.0
2018-06-09,2018,6,1210886.0,1308434.0
2018-06-10,2018,6,1112545.0,1303491.0
2018-06-11,2018,6,1433184.0,1312766.0
2018-06-12,2018,6,1434534.0,1324452.0
2018-06-13,2018,6,1426717.0,1324923.0
2018-06-14,2018,6,1429305.0,1325053.0
2018-06-15,2018,6,1405359.0,1324197.0
2018-06-16,2018,6,1177842.0,1315404.0
2018-06-17,2018,6,1086869.0,1304809.0
2018-06-18,2018,6,1422053.0,1313380.0
2018-06-19,2018,6,1457307.0,1327899.0
2018-06-20,2018,6,1462888.0,1341214.0
2018-06-21,2018,6,1462575.0,1343607.0
2018-06-22,2018,6,1407563.0,1342741.0
2018-06-23,2018,6,1170531.0,1333835.0
2018-06-24,2018,6,1074280.0,1322857.0
2018-06-25,2018,6,1401591.0,1329888.0
2018-06-26,2018,6,1422317.0,1340906.0
2018-06-27,2018,6,1422816.0,1340937.0
2018-06-28,2018,6,1439360.0,1340426.0
2018-06-29,2018,6,1405700.0,1339958.0
2018-06-30,2018,6,1179018.0,1338326.0
2018-07-01,2018,7,1084057.0,1330673.0
2018-07-02,2018,7,1400476.0,1338744.0
2018-07-03,2018,7,1440049.0,1350992.0
2018-07-04,2018,7,1449513.0,1352742.0
2018-07-05,2018,7,1453465.0,1353318.0
2018-07-06,2018,7,1418013.0,1352355.0
2018-07-07,2018,7,1170717.0,1342944.0
2018-07-08,2018,7,1068576.0,1331004.0
2018-07-09,2018,7,1382332.0,1336718.0
2018-07-10,2018,7,1386083.0,1345836.0
2018-07-11,2018,7,1376850.0,1343959.0
2018-07-12,2018,7,1374318.0,1341951.0
2018-07-13,2018,7,1360016.0,1339728.0
2018-07-14,2018,7,1131521.0,1329802.0
2018-07-15,2018,7,1040516.0,1317640.0
2018-07-16,2018,7,1339618.0,1323033.0
2018-07-17,2018,7,1372255.0,1332546.0
2018-07-18,2018,7,1376828.0,1331038.0
2018-07-19,2018,7,1366904.0,1328025.0
2018-07-20,2018,7,1339392.0,1323908.0
2018-07-21,2018,7,1130277.0,1312832.0
2018-07-22,2018,7,1056975.0,1301145.0
2018-07-23,2018,7,1365425.0,1307642.0
2018-07-24,2018,7,1398013.0,1318433.0
2018-07-25,2018,7,1417898.0,1318977.0
2018-07-26,2018,7,1419851.0,1318894.0
2018-07-27,2018,7,1398559.0,1318086.0
2018-07-28,2018,7,1186101.0,1309644.0
2018-07-29,2018,7,1072377.0,1298533.0
2018-07-30,2018,7,1371452.0,1304948.0
2018-07-31,2018,7,1405774.0,1315671.0
2018-08-01,2018,8,1396351.0,1315534.0
2018-08-02,2018,8,1403751.0,1314324.0
2018-08-03,2018,8,1382454.0,1312089.0
2018-08-04,2018,8,1194236.0,1303448.0
2018-08-05,2018,8,1080451.0,1292196.0
2018-08-06,2018,8,1366916.0,1298736.0
2018-08-07,2018,8,1403334.0,1309894.0
2018-08-08,2018,8,1423756.0,1311275.0
2018-08-09,2018,8,1406065.0,1311941.0
2018-08-10,2018,8,1357881.0,1311309.0
2018-08-11,2018,8,1132388.0,1303245.0
2018-08-12,2018,8,1030433.0,1292258.0
2018-08-13,2018,8,1338310.0,1299151.0
2018-08-14,2018,8,1352481.0,1309550.0
2018-08-15,2018,8,1313368.0,1308675.0
2018-08-16,2018,8,1358858.0,1308229.0
2018-08-17,2018,8,1342588.0,1307087.0
2018-08-18,2018,8,1171282.0,1300567.0
2018-08-19,2018,8,1078471.0,1291869.0
2018-08-20,2018,8,1369526.0,1299844.0
2018-08-21,2018,8,1380031.0,1310613.0
2018-08-22,2018,8,1408002.0,1312032.0
2018-08-23,2018,8,1426679.0,1312987.0
2018-08-24,2018,8,1386019.0,1311925.0
2018-08-25,2018,8,1154646.0,1303085.0
2018-08-26,2018,8,1056393.0,1291679.0
2018-08-27,2018,8,1401588.0,1298862.0
2018-08-28,2018,8,1388304.0,1309393.0
2018-08-29,2018,8,1404496.0,1310494.0
2018-08-30,2018,8,1408865.0,1310597.0
2018-08-31,2018,8,1347898.0,1308982.0
2018-09-01,2018,9,1145192.0,1300364.0
2018-09-02,2018,9,1074282.0,1290091.0
2018-09-03,2018,9,1382460.0,1296365.0
2018-09-04,2018,9,1402144.0,1307089.0
2018-09-05,2018,9,1397233.0,1308099.0
2018-09-06,2018,9,1411002.0,1308355.0
2018-09-07,2018,9,1384594.0,1307049.0
2018-09-08,2018,9,1174031.0,1299315.0
2018-09-09,2018,9,1072830.0,1289813.0
2018-09-10,2018,9,1385474.0,1298249.0
2018-09-11,2018,9,1434741.0,1311726.0
2018-09-12,2018,9,1422914.0,1314546.0
2018-09-13,2018,9,1406757.0,1316356.0
2018-09-14,2018,9,1376411.0,1318457.0
2018-09-15,2018,9,1163966.0,1311961.0
2018-09-16,2018,9,1069905.0,1302871.0
2018-09-17,2018,9,1375395.0,1309675.0
2018-09-18,2018,9,1455775.0,1322252.0
2018-09-19,2018,9,1450314.0,1324945.0
2018-09-20,2018,9,1447562.0,1327196.0
2018-09-21,2018,9,1458548.0,1328881.0
2018-09-22,2018,9,1207228.0,1321566.0
2018-09-23,2018,9,1114632.0,1312519.0
2018-09-24,2018,9,1423826.0,1321492.0
2018-09-25,2018,9,1407105.0,1333182.0
2018-09-26,2018,9,1451959.0,1334861.0
2018-09-27,2018,9,1426402.0,1336131.0
2018-09-28,2018,9,1422547.0,1336733.0
2018-09-29,2018,9,1194314.0,1329581.0
2018-09-30,2018,9,1102686.0,1321408.0
2018-10-01,2018,10,1416219.0,1330442.0
2018-10-02,2018,10,1453853.0,1343094.0
2018-10-03,2018,10,1198790.0,1336972.0
2018-10-04,2018,10,1388491.0,1336517.0
2018-10-05,2018,10,1378312.0,1335886.0
2018-10-06,2018,10,1183793.0,1328312.0
2018-10-07,2018,10,1100768.0,1318852.0
2018-10-08,2018,10,1405071.0,1326553.0
2018-10-09,2018,10,1423952.0,1338257.0
2018-10-10,2018,10,1418341.0,1339353.0
2018-10-11,2018,10,1447016.0,1339762.0
2018-10-12,2018,10,1403990.0,1339131.0
2018-10-13,2018,10,1183048.0,1331674.0
2018-10-14,2018,10,1101204.0,1322500.0
2018-10-15,2018,10,1381802.0,1329762.0
2018-10-16,2018,10,1405673.0,1340954.0
2018-10-17,2018,10,1407042.0,1342009.0
2018-10-18,2018,10,1429421.0,1341130.0
2018-10-19,2018,10,1390178.0,1339126.0
2018-10-20,2018,10,1211982.0,1331273.0
2018-10-21,2018,10,1141939.0,1320719.0
2018-10-22,2018,10,1464403.0,1329292.0
2018-10-23,2018,10,1533409.0,1343251.0
2018-10-24,2018,10,1506698.0,1346014.0
2018-10-25,2018,10,1492811.0,1348870.0
2018-10-26,2018,10,1449126.0,1348776.0
2018-10-27,2018,10,1245710.0,1342753.0
2018-10-28,2018,10,1166875.0,1334231.0
2018-10-29,2018,10,1496905.0,1344317.0
2018-10-30,2018,10,1508166.0,1357833.0
2018-10-31,2018,10,1401622.0,1357346.0
2018-11-01,2018,11,1277236.0,1351459.0
2018-11-02,2018,11,1358953.0,1356798.0
2018-11-03,2018,11,1220340.0,1351193.0
2018-11-04,2018,11,1130933.0,1342947.0
2018-11-05,2018,11,1437182.0,1351393.0
2018-11-06,2018,11,1468573.0,1363653.0
2018-11-07,2018,11,1487778.0,1366410.0
2018-11-08,2018,11,1476516.0,1368162.0
2018-11-09,2018,11,1463203.0,1369658.0
2018-11-10,2018,11,1275402.0,1363937.0
2018-11-11,2018,11,1162809.0,1355898.0
2018-11-12,2018,11,1453006.0,1364897.0
2018-11-13,2018,11,1504547.0,1378341.0
2018-11-14,2018,11,1505330.0,1382459.0
2018-11-15,2018,11,1515757.0,1386128.0
2018-11-16,2018,11,1512410.0,1389641.0
2018-11-17,2018,11,1338072.0,1386596.0
2018-11-18,2018,11,1199820.0,1380250.0
2018-11-19,2018,11,1547961.0,1391450.0
2018-11-20,2018,11,1588057.0,1406320.0
2018-11-21,2018,11,1572392.0,1409920.0
2018-11-22,2018,11,1570714.0,1411163.0
2018-11-23,2018,11,1521816.0,1411667.0
2018-11-24,2018,11,1314072.0,1405709.0
2018-11-25,2018,11,1225953.0,1398270.0
2018-11-26,2018,11,1525694.0,1407603.0
2018-11-27,2018,11,1556957.0,1420606.0
2018-11-28,2018,11,1622753.0,1424801.0
2018-11-29,2018,11,1615720.0,1428386.0
2018-11-30,2018,11,1569886.0,1433995.0
