date,year,season,weekday,consumption_mwh,percentile
2019-01-23,2019,Winter,Wednesday,1636406.0,100.0
2018-02-28,2018,Winter,Wednesday,1634027.0,99.9
2019-01-22,2019,Winter,Tuesday,1629258.0,99.8
2018-11-28,2018,Autumn,Wednesday,1622753.0,99.7
2018-02-27,2018,Winter,Tuesday,1619598.0,99.6
2018-03-01,2018,Spring,Thursday,1618882.0,99.5
2018-11-29,2018,Autumn,Thursday,1615720.0,99.4
2019-01-24,2019,Winter,Thursday,1614503.0,99.3
2019-01-09,2019,Winter,Wednesday,1605541.0,99.2
2018-03-02,2018,Spring,Friday,1604981.0,99.1
2018-01-17,2018,Winter,Wednesday,1603534.0,99.0
2019-02-07,2019,Winter,Thursday,1600480.0,98.9
2019-01-17,2019,Winter,Thursday,1598738.0,98.8
2018-12-10,2018,Winter,Monday,1598131.0,98.7
2019-01-15,2019,Winter,Tuesday,1597212.0,98.6
2019-01-25,2019,Winter,Friday,1596455.0,98.5
2018-12-11,2018,Winter,Tuesday,1596176.0,98.4
2018-01-18,2018,Winter,Thursday,1596151.0,98.3
2018-12-13,2018,Winter,Thursday,1593433.0,98.2
2019-01-08,2019,Winter,Tuesday,1592422.0,98.1
